"ID" "block" "walking" "of_speed" "eye" "color" "full_alterations" "alterations" "forward" "non" "static" "mean_perc_dur"
"1" 1 1 "Slow" "Slow" "left" "red" 58 66 37.8509544523401 19.2819738528869 42.867071694773 1.02060606060574
"2" 1 2 "Fast" "Slow" "left" "red" 56 67 30.9907529722695 18.5468956406504 50.4623513870801 1.01232835820951
"3" 1 3 "Slow" "Slow" "left" "green" 39 53 72.7803807253692 16.0492370150778 11.1703822595529 1.34215094339578
"4" 1 4 "Fast" "Slow" "left" "green" 56 69 62.252857537776 18.1644451388951 19.5826973233289 0.986782608695764
"5" 1 5 "Slow" "Slow" "right" "green" 56 63 59.4255151500205 16.8883264487826 23.6861584011968 1.10501587301544
"6" 1 6 "Fast" "Slow" "right" "green" 52 63 66.3232830820637 13.8968652787634 19.7798516391729 1.14230158730176
"7" 1 7 "Slow" "Slow" "right" "red" 43 51 34.25233370515 13.0335231609503 52.7141431338997 1.45225490196052
"8" 1 8 "Fast" "Slow" "right" "red" 48 57 48.1965542574283 23.5277389387651 28.2757068038067 1.13224561403563
"9" 1 9 "Slow" "Fast" "left" "red" 63 66 48.853128377573 16.0742164044775 35.0726552179495 1.05886363636301
"10" 1 10 "Fast" "Fast" "left" "red" 55 62 43.3257593876929 15.5369528820965 41.1372877302106 1.13916129032277
"11" 1 11 "Slow" "Fast" "left" "green" 58 66 52.8999592061882 24.4822786936467 22.6177621001651 0.953651515151719
"12" 1 12 "Fast" "Fast" "left" "green" 55 62 62.4947756827692 19.0081559055382 18.4970684116926 1.09395161290271
"13" 1 13 "Slow" "Fast" "right" "green" 47 54 72.8955492211514 10.3421765408363 16.7622742380123 1.40375925925899
"14" 1 14 "Fast" "Fast" "right" "green" 49 64 67.1768788894233 18.3317376735069 14.4913834370698 1.06628125000054
"15" 1 15 "Slow" "Fast" "right" "red" 61 70 47.2852010717318 19.2432926023488 33.4715063259194 0.960185714285513
"16" 1 16 "Fast" "Fast" "right" "red" 49 59 30.736834612576 19.1130936139326 50.1500717734914 1.15562711864403
"17" 2 1 "Slow" "Slow" "left" "red" 28 32 41.2122538797507 13.6928695692296 45.0948765510197 2.34099999999944
"18" 2 2 "Fast" "Slow" "left" "red" 38 43 41.0091250670929 11.8159116899107 47.1749632429964 1.75748837209235
"19" 2 3 "Slow" "Slow" "left" "green" 32 34 62.7670149805879 6.32282226741812 30.910162751994 2.38358823529351
"20" 2 4 "Fast" "Slow" "left" "green" 36 39 59.1631915808048 8.44591062737164 32.3908977918236 2.02097435897434
"21" 2 5 "Slow" "Slow" "right" "green" 22 26 68.2576666095553 6.50562503570217 25.2367083547425 3.14842307692211
"22" 2 6 "Fast" "Slow" "right" "green" 24 27 64.2115397840545 5.65298122551549 30.13547899043 3.04866666666742
"23" 2 7 "Slow" "Slow" "right" "red" 30 35 53.0923731844422 11.4661805931815 35.4414462223763 2.19262857142886
"24" 2 8 "Fast" "Slow" "right" "red" 35 38 47.5687079087896 5.62297875299947 46.808313338211 2.14263157894705
"25" 2 9 "Slow" "Fast" "left" "red" 33 38 46.4188702899616 10.1861955285318 43.3949341815066 2.03607894736744
"26" 2 10 "Fast" "Fast" "left" "red" 35 39 45.8663015987006 9.84175232616879 44.2919460751306 1.99258974358956
"27" 2 11 "Slow" "Fast" "left" "green" 26 29 68.1278192899506 7.20705209876552 24.6651286112839 2.78772413793169
"28" 2 12 "Fast" "Fast" "left" "green" 38 45 50.8025803452163 11.4999709420641 37.6974487127195 1.69202222222281
"29" 2 13 "Slow" "Fast" "right" "green" 36 39 62.2567054700076 8.3378790868264 29.405415443166 2.02505128205144
"30" 2 14 "Fast" "Fast" "right" "green" 31 33 68.6916317799031 4.20366195886577 27.1047062612312 2.52403030303037
"31" 2 15 "Slow" "Fast" "right" "red" 34 43 56.1397832066016 5.88554787713946 37.9746689162589 1.89397674418589
"32" 2 16 "Fast" "Fast" "right" "red" 46 49 53.2726845873963 7.25906796572408 39.4682474468796 1.61236734693821
"33" 3 1 "Slow" "Slow" "left" "red" 18 21 49.1488586968815 21.5209030290722 29.3302382740463 3.28423809523866
"34" 3 2 "Fast" "Slow" "left" "red" 12 19 58.8310803135235 26.8556174031643 14.3133022833122 3.38889473684149
"35" 3 3 "Slow" "Slow" "left" "green" 15 20 62.7990308159692 16.7138745748451 20.4870946091857 3.66079999999965
"36" 3 4 "Fast" "Slow" "left" "green" 21 24 51.0709474116963 18.7952412485834 30.1338113397203 2.96350000000105
"37" 3 5 "Slow" "Slow" "right" "green" 22 23 54.7806062540606 16.0808946750405 29.1384990708989 3.20056521738993
"38" 3 6 "Fast" "Slow" "right" "green" 17 23 48.8908688004174 27.1605784387544 23.9485527608282 2.77252173913154
"39" 3 7 "Slow" "Slow" "right" "red" 14 22 37.5028524485424 26.7491214458565 35.7480261056011 2.91818181818201
"40" 3 8 "Fast" "Slow" "right" "red" 20 22 50.2847964275177 29.5994623043487 20.1157412681336 2.80904545454574
"41" 3 9 "Slow" "Fast" "left" "red" 17 19 44.2464011625294 27.6815312655895 28.0720675718811 3.35268421052598
"42" 3 10 "Fast" "Fast" "left" "red" 12 18 48.6531585220299 41.5085986719005 9.8382428060696 2.86266666666658
"43" 3 11 "Slow" "Fast" "left" "green" 15 25 61.7686018362254 23.6582469282193 14.5731512355553 2.67415999999968
"44" 3 12 "Fast" "Fast" "left" "green" 27 28 58.4904578401778 10.3920084411411 31.1175337186811 2.79039285714342
"45" 3 13 "Slow" "Fast" "right" "green" 8 13 72.598077334844 20.1924919137721 7.20943075138385 5.44723076923121
